"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"223",0,6,"Logistic Regression","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980508116589222,319,2,16246,4,0.980508116589222
"224",0,6,"LDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.97652525496349,286,35,16147,103,0.97652525496349
"225",0,6,"QDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.960171383742683,251,70,15841,409,0.960171383742683
"226",0,6,"SVM","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980628809365759,321,0,16250,0,0.980628809365759
"227",0,6,"NaiveBayes","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"228",0,7,"Logistic Regression","ip",0.711873080859775,290,610,781,273,0.711873080859775
"229",0,7,"LDA","ip",0.72517911975435,262,638,779,275,0.72517911975435
"230",0,7,"QDA","ip",0.741555783009212,212,688,761,293,0.741555783009212
"231",0,7,"SVM","ip",0.72517911975435,263,637,780,274,0.72517911975435
"232",0,7,"NaiveBayes","ip",0.460593654042989,0,900,0,1054,0.460593654042989
"233",0,7,"Logistic Regression","ip+device",0.724667349027636,310,590,826,228,0.724667349027636
"234",0,7,"LDA","ip+device",0.724667349027636,296,604,812,242,0.724667349027636
"235",0,7,"QDA","ip+device",0.591095189355169,798,102,1053,1,0.591095189355169
"236",0,7,"SVM","ip+device",0.724667349027636,296,604,812,242,0.724667349027636
"237",0,7,"NaiveBayes","ip+device",0.460593654042989,0,900,0,1054,0.460593654042989
"238",0,7,"Logistic Regression","device+channel+channel_ip",0.747185261003071,281,619,841,213,0.747185261003071
"239",0,7,"LDA","device+channel+channel_ip",0.747185261003071,277,623,837,217,0.747185261003071
"240",0,7,"QDA","device+channel+channel_ip",0.591095189355169,797,103,1052,2,0.591095189355169
"241",0,7,"SVM","device+channel+channel_ip",0.747185261003071,277,623,837,217,0.747185261003071
"242",0,7,"NaiveBayes","device+channel+channel_ip",0.460593654042989,0,900,0,1054,0.460593654042989
"243",0,7,"Logistic Regression","device+channel+channel_ip+channel_ip_app",0.748720573183214,274,626,837,217,0.748720573183214
"244",0,7,"LDA","device+channel+channel_ip+channel_ip_app",0.749744114636643,271,629,836,218,0.749744114636643
"245",0,7,"QDA","device+channel+channel_ip+channel_ip_app",0.591606960081883,796,104,1052,2,0.591606960081883
"246",0,7,"SVM","device+channel+channel_ip+channel_ip_app",0.749744114636643,272,628,837,217,0.749744114636643
"247",0,7,"NaiveBayes","device+channel+channel_ip+channel_ip_app",0.460593654042989,0,900,0,1054,0.460593654042989
